threshold,kept,coverage,error
0.00420789,33806,0.925127,0.279832
0.00444668,33890,0.927426,0.280260
0.00469877,33935,0.928657,0.280507
0.00496487,33986,0.930053,0.280910
0.00524574,34149,0.934514,0.280682
0.00554219,34235,0.936867,0.280502
0.00585503,34265,0.937688,0.280841
0.00618517,34324,0.939303,0.280999
0.00653352,34371,0.940589,0.281720
0.00690107,34473,0.943380,0.282192
0.00728882,34563,0.945843,0.283077
0.00769788,34615,0.947266,0.283259
0.00812935,34687,0.949236,0.284141
0.00858444,34747,0.950878,0.284686
0.00906439,34789,0.952028,0.285291
0.00957051,34866,0.954135,0.285350
0.0101042,34921,0.955640,0.285702
0.0106668,34998,0.957747,0.285673
0.01126,35044,0.959006,0.285955
0.0118853,35085,0.960128,0.286476
0.0125443,35124,0.961195,0.286499
0.0132388,35167,0.962372,0.286775
0.0139707,35201,0.963303,0.286640
0.0147418,35227,0.964014,0.286769
0.0155542,35273,0.965273,0.287444
0.01641,35340,0.967106,0.287153
0.0173114,35385,0.968338,0.287184
0.0182607,35426,0.969460,0.287557
0.0192603,35454,0.970226,0.287640
0.0203127,35485,0.971074,0.288009
0.0214207,35544,0.972689,0.288881
0.0225868,35570,0.973400,0.289176
0.0238141,35593,0.974030,0.289214
0.0251055,35618,0.974714,0.289404
0.0264642,35640,0.975316,0.289534
0.0278935,35666,0.976028,0.289323
0.0293967,35679,0.976383,0.289274
0.0309774,35709,0.977204,0.289395
0.0326395,35728,0.977724,0.289353
0.0343866,35743,0.978135,0.289399
0.0362228,35758,0.978545,0.289641
0.0381524,35824,0.980351,0.290448
0.0401796,35830,0.980516,0.290511
0.042309,35857,0.981254,0.290794
0.0445451,35876,0.981774,0.290947
0.046893,35897,0.982349,0.291334
0.0493575,35920,0.982978,0.291648
0.051944,35939,0.983498,0.291856
0.0546576,35944,0.983635,0.291843
0.0575041,35961,0.984100,0.292066
0.060489,35972,0.984402,0.292060
0.0636183,35981,0.984648,0.292154
0.066898,35991,0.984921,0.292156
0.0703344,36019,0.985688,0.292457
0.0739339,36035,0.986126,0.292632
0.0777029,36045,0.986399,0.292773
0.0816481,36057,0.986728,0.292897
0.0857764,36065,0.986947,0.292860
0.0900948,36078,0.987302,0.292949
0.0946102,36085,0.987494,0.293030
0.0993298,36101,0.987932,0.293177
0.104261,36107,0.988096,0.293267
0.109411,36118,0.988397,0.293261
0.114786,36128,0.988671,0.293346
0.120396,36132,0.988780,0.293396
0.126245,36139,0.988972,0.293450
0.132343,36147,0.989191,0.293496
0.138696,36154,0.989382,0.293494
